Title:               Discount Rates, Federal Reserve Bank of New York for United States
Series ID:           M13009USM156NNBR
Source:              National Bureau of Economic Research
Release:             NBER Macrohistory Database (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1914-11-01 to 1969-07-01
Last Updated:        2012-08-20 8:16 AM CDT
Notes:               Data Are Computed By NBER By Taking Simple Averages Of Rates For
                     Commercial, Agricultural, And Livestock Paper, And Weighting Them By
                     The Number Of Days Each Rate Was In Force. Data Are For All Classes
                     And Maturities Of Discount Bills. Source: Federal Reserve Board, Data
                     For 1914-1922: "Discount Rates Of Federal Reserve Banks, 1914-1921",
                     1922. Data For 1922-1969: Annual Reports For 1931-1942; Federal
                     Reserve Bulletin, Successive Issues.
                     
                     This NBER data series m13009 appears on the NBER website in Chapter 13
                     at http://www.nber.org/databases/macrohistory/contents/chapter13.html.
                     
                     NBER Indicator: m13009

DATE       VALUE
1938-11-01  1.00
1938-12-01  1.00
1939-01-01  1.00
1939-02-01  1.00
1939-03-01  1.00
1939-04-01  1.00
1939-05-01  1.00
1939-06-01  1.00
1939-07-01  1.00
1939-08-01  1.00
1939-09-01  1.00
1939-10-01  1.00
1939-11-01  1.00
1939-12-01  1.00
1940-01-01  1.00
1940-02-01  1.00
1940-03-01  1.00
1940-04-01  1.00
1940-05-01  1.00
1940-06-01  1.00
1940-07-01  1.00
1940-08-01  1.00
1940-09-01  1.00
1940-10-01  1.00
1940-11-01  1.00
1940-12-01  1.00
1941-01-01  1.00
1941-02-01  1.00
1941-03-01  1.00
1941-04-01  1.00
1941-05-01  1.00
1941-06-01  1.00
1941-07-01  1.00
1941-08-01  1.00
1941-09-01  1.00
1941-10-01  1.00
1941-11-01  1.00
1941-12-01  1.00
1942-01-01  1.00
1942-02-01  1.00
1942-03-01  1.00
1942-04-01  1.00
1942-05-01  1.00
1942-06-01  1.00
1942-07-01  1.00
1942-08-01  1.00
1942-09-01  1.00
1942-10-01  1.00
1942-11-01  1.00
1942-12-01  1.00
1943-01-01  1.00
1943-02-01  1.00
1943-03-01  1.00
1943-04-01  1.00
1943-05-01  1.00
1943-06-01  1.00
1943-07-01  1.00
1943-08-01  1.00
1943-09-01  1.00
1943-10-01  1.00
1943-11-01  1.00
1943-12-01  1.00
1944-01-01  1.00
1944-02-01  1.00
1944-03-01  1.00
1944-04-01  1.00
1944-05-01  1.00
1944-06-01  1.00
1944-07-01  1.00
1944-08-01  1.00
1944-09-01  1.00
1944-10-01  1.00
1944-11-01  1.00
1944-12-01  1.00
1945-01-01  1.00
1945-02-01  1.00
1945-03-01  1.00
1945-04-01  1.00
1945-05-01  1.00
1945-06-01  1.00
1945-07-01  1.00
1945-08-01  1.00
1945-09-01  1.00
1945-10-01  1.00
1945-11-01  1.00
1945-12-01  1.00
1946-01-01  1.00
1946-02-01  1.00
1946-03-01  1.00
1946-04-01  1.00
1946-05-01  1.00
1946-06-01  1.00
1946-07-01  1.00
