Title:               Consumer Price Index: All Items Excluding Food and Energy for United Kingdom
Series ID:           GBRCPICORQINMEI
Source:              Organization for Economic Co-operation and Development
Release:             Main Economic Indicators (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 2015=100
Date Range:          1970-01-01 to 2020-01-01
Last Updated:        2020-05-14 5:14 PM CDT
Notes:               Copyright, 2016, OECD. Reprinted with permission.
                     
                     All OECD data should be cited as follows: OECD (2010), "Main Economic
                     Indicators - complete database", Main Economic Indicators
                     (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)

DATE                   VALUE
2011-10-01 94.30000000000000
2012-01-01 94.40000000000000
2012-04-01 95.20000000000000
2012-07-01 95.50000000000000
2012-10-01 96.40000000000000
2013-01-01 96.40000000000000
2013-04-01 97.10000000000000
2013-07-01 97.30000000000000
2013-10-01 98.00000000000000
2014-01-01 97.90000000000000
2014-04-01 98.80000000000000
2014-07-01 99.00000000000000
2014-10-01 99.40000000000000
2015-01-01 99.20000000000000
2015-04-01 99.80000000000000
2015-07-01 100.20000000000000
2015-10-01 100.70000000000000
2016-01-01 100.70000000000000
2016-04-01 101.40000000000000
2016-07-01 101.80000000000000
2016-10-01 102.50000000000000
2017-01-01 102.60000000000000
2017-04-01 103.80000000000000
2017-07-01 104.40000000000000
2017-10-01 104.90000000000000
