Title:               Consumer Price Index of All Items in the United Kingdom
Series ID:           GBRCPIALLQINMEI
Source:              Organization for Economic Co-operation and Development
Release:             Main Economic Indicators (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 2015=100
Date Range:          1960-01-01 to 2020-01-01
Last Updated:        2020-05-14 5:12 PM CDT
Notes:               Copyright, 2016, OECD. Reprinted with permission.
                     
                     All OECD data should be cited as follows: OECD (2010), "Main Economic
                     Indicators - complete database", Main Economic Indicators
                     (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date)

DATE                   VALUE
2002-01-01 75.00000000000000
2002-04-01 75.70000000000000
2002-07-01 75.80000000000000
2002-10-01 76.20000000000000
2003-01-01 76.10000000000000
2003-04-01 76.80000000000000
2003-07-01 76.80000000000000
2003-10-01 77.10000000000000
2004-01-01 77.20000000000000
2004-04-01 77.80000000000000
2004-07-01 77.80000000000000
2004-10-01 78.30000000000000
2005-01-01 78.50000000000000
2005-04-01 79.30000000000000
2005-07-01 79.70000000000000
2005-10-01 80.10000000000000
2006-01-01 80.20000000000000
2006-04-01 81.20000000000000
2006-07-01 81.70000000000000
2006-10-01 82.30000000000000
2007-01-01 82.40000000000000
2007-04-01 83.30000000000000
2007-07-01 83.30000000000000
2007-10-01 84.10000000000000
