Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations,core.inflation.q
1983-04-01,12.3503331498378,6.9833339251144,10.6748573451171,4.3792429337482,3.69152342000269,4.3792429337482
1983-07-01,12.3612199713979,5.83884279502034,10.1773321186416,7.20605430060272,4.33848932362128,7.20605430060272
1983-10-01,12.3698228167387,4.62734279555496,9.62246249253798,5.13645326709162,4.99511969698302,5.13645326709162
1984-01-01,12.3767221818803,4.40559402048934,9.48798210462658,3.60780183510642,5.08238808413724,3.60780183510642
1984-04-01,12.3679278548144,4.492097600783,9.39158188972724,3.64762775297621,4.89948428894424,3.64762775297621
1984-07-01,12.3743755654585,6.67443237362873,11.6859215478023,7.65407384152022,5.01148917417362,7.65407384152022
1984-10-01,12.3939578630871,5.2842052820072,10.6516383423956,6.56022881195075,5.3674330603884,6.56022881195075
1985-01-01,12.4021245087724,7.92350884205837,13.9964698267034,6.42991353213299,6.07296098464504,6.42991353213299
1985-04-01,12.4230814175076,5.88236009238791,13.4786482933884,9.74093661839801,7.59628820100049,9.74093661839801
1985-07-01,12.4239543777227,5.58366723615647,12.4588083271164,4.76948540135799,6.87514109095994,4.76948540135799
1985-10-01,12.4263681449922,6.22512060210261,12.2223117667301,3.04842910662087,5.99719116462746,3.04842910662087
1986-01-01,12.4376445780403,7.43062992320105,13.064544918832,4.97680885614677,5.63391499563091,4.97680885614677
1986-04-01,12.4450383635885,7.01455254942983,11.0458973238454,3.33065573353649,4.03134477441553,3.33065573353649
1986-07-01,12.4495794512735,6.87055202266692,10.5290060090673,3.27792224929738,3.65845398640038,3.27792224929738
1986-10-01,12.4672862482403,7.0635689266878,11.4783868807089,6.07388497710388,4.41481795402113,6.07388497710388
1987-01-01,12.4765386177388,6.72189101983563,11.4127571893147,6.0810017179787,4.69086616947911,6.0810017179787
1987-04-01,12.4911012005164,5.19808575854578,9.78770646895553,2.92567389725902,4.58962071040975,2.92567389725902
1987-07-01,12.5151076135793,5.20486402104009,10.0817771709587,4.42709200733286,4.87691314991862,4.42709200733286
1987-10-01,12.5263683156008,5.03998147852016,9.59646418374478,4.79216319832789,4.55648270522462,4.79216319832789
1988-01-01,12.5440330599795,5.19555960494791,9.14602812365761,3.65694497191904,3.9504685187097,3.65694497191904
1988-04-01,12.5499105460674,3.57678582268375,8.40991276266907,6.45630758236149,4.83312693998532,6.45630758236149
1988-07-01,12.5650259919376,5.8073347622568,11.689883717024,8.62478006646056,5.88254895476725,8.62478006646056
1988-10-01,12.5736004831867,6.18541362536836,13.2288804430346,9.43583464992381,7.04346681766623,9.43583464992381
1989-01-01,12.577998205397,5.70000826087444,13.9414868329157,8.44899198941933,8.2414785720413,8.44899198941933
1989-04-01,12.584560449794,5.9626494082649,14.3592568113019,7.07682290634421,8.39660740303698,7.07682290634421
1989-07-01,12.5855564777446,7.13619174564536,14.9689091137663,6.3692199267964,7.83271736812094,6.3692199267964
1989-10-01,12.5865070839131,8.72596296178784,16.1905354100694,7.96325497056614,7.46457244828152,7.96325497056614
1990-01-01,12.5932244167984,8.81424665977166,16.274643445529,8.43228933932262,7.46039678575734,8.43228933932262
1990-04-01,12.5983478142488,6.54105226640538,16.274643445529,16.1696004798093,9.73359117912362,16.1696004798093
1990-07-01,12.5878527998559,6.12083631346506,16.274643445529,8.05008373855768,10.1538071320639,8.05008373855768
1990-10-01,12.5844063362463,5.59791221699314,15.1933139477216,5.72963336522427,9.59540173072847,5.72963336522427
