"dates","y*(t)","y*(t-1)","y*(t-2)","g(t-1)"
1972-04-01,1216.64989708501,1214.64152905613,1214.97761571412,0.650774456000399
1972-07-01,1216.28212729318,1216.64989708501,1214.64152905613,0.648147536111031
1972-10-01,1217.19598435965,1216.28212729318,1216.64989708501,0.645207689396023
1973-01-01,1221.48372210691,1217.19598435965,1216.28212729318,0.640014916418606
1973-04-01,1221.24094490955,1221.48372210691,1217.19598435965,0.635134409095314
1973-07-01,1220.13982874203,1221.24094490955,1221.48372210691,0.631196648452317
1973-10-01,1219.7855135168,1220.13982874203,1221.24094490955,0.627796540217176
1974-01-01,1217.32050337949,1219.7855135168,1220.13982874203,0.626111244877959
1974-04-01,1219.22678659893,1217.32050337949,1219.7855135168,0.623690216303711
1974-07-01,1220.48128848401,1219.22678659893,1217.32050337949,0.620844256517526
1974-10-01,1219.73405171472,1220.48128848401,1219.22678659893,0.618785721566803
1975-01-01,1220.51549474621,1219.73405171472,1220.48128848401,0.616721592568806
1975-04-01,1219.53607361547,1220.51549474621,1219.73405171472,0.615639327680742
1975-07-01,1219.71331701213,1219.53607361547,1220.51549474621,0.614922352433588
1975-10-01,1221.14660525369,1219.71331701213,1219.53607361547,0.613806533914679
1976-01-01,1222.7847212897,1221.14660525369,1219.71331701213,0.612151549335051
1976-04-01,1222.49229977795,1222.7847212897,1221.14660525369,0.611068827072003
1976-07-01,1223.45166309986,1222.49229977795,1222.7847212897,0.609890471212225
1976-10-01,1225.19032337958,1223.45166309986,1222.49229977795,0.608157930240858
1977-01-01,1224.85743469999,1225.19032337958,1223.45166309986,0.607048161971997
1977-04-01,1223.7879321254,1224.85743469999,1225.19032337958,0.606995506911413
1977-07-01,1224.04098704507,1223.7879321254,1224.85743469999,0.607185995256333
1977-10-01,1225.22411666917,1224.04098704507,1223.7879321254,0.607001580045144
1978-01-01,1225.55882708586,1225.22411666917,1224.04098704507,0.606873713280717
1978-04-01,1226.18563821495,1225.55882708586,1225.22411666917,0.606632559354913
1978-07-01,1227.1232922761,1226.18563821495,1225.55882708586,0.606088249988961
1978-10-01,1227.76924761078,1227.1232922761,1226.18563821495,0.605416322879435
1979-01-01,1227.3672018941,1227.76924761078,1227.1232922761,0.605234742070884
1979-04-01,1231.85718094821,1227.3672018941,1227.76924761078,0.602813291169963
1979-07-01,1230.04988953474,1231.85718094821,1227.3672018941,0.601700761008534
1979-10-01,1231.70701976992,1230.04988953474,1231.85718094821,0.600112859619691
1980-01-01,1231.48354228458,1231.70701976992,1230.04988953474,0.599039917933331
1980-04-01,1230.23800127873,1231.48354228458,1231.70701976992,0.59910882117342
1980-07-01,1230.84777969964,1230.23800127873,1231.48354228458,0.599247482088376
1980-10-01,1230.33876317947,1230.84777969964,1230.23800127873,0.600022397086889
1981-01-01,1230.64654228128,1230.33876317947,1230.84777969964,0.600979069832272
1981-04-01,1231.10447414321,1230.64654228128,1230.33876317947,0.602008264657318
1981-07-01,1232.24033595647,1231.10447414321,1230.64654228128,0.602733583412161
1981-10-01,1232.26254577734,1232.24033595647,1231.10447414321,0.603786490989266
1982-01-01,1232.21179323586,1232.26254577734,1232.24033595647,0.605238319964523
1982-04-01,1232.91106763331,1232.21179323586,1232.26254577734,0.606653696133494
1982-07-01,1232.73513683004,1232.91106763331,1232.21179323586,0.608511501580218
1982-10-01,1232.96071455598,1232.73513683004,1232.91106763331,0.610597429392884
1983-01-01,1234.30186234722,1232.96071455598,1232.73513683004,0.612269856704338
1983-04-01,1234.75352042354,1234.30186234722,1232.96071455598,0.614035432127656
1983-07-01,1235.55927897515,1234.75352042354,1234.30186234722,0.615737223285564
1983-10-01,1236.27019198514,1235.55927897515,1234.75352042354,0.617439540438752
1984-01-01,1236.94158802886,1236.27019198514,1235.55927897515,0.619177044291623
1984-04-01,1236.16266589666,1236.94158802886,1236.27019198514,0.621772853169114
1984-07-01,1236.98592954999,1236.16266589666,1236.94158802886,0.624325868594464
1984-10-01,1239.18599895944,1236.98592954999,1236.16266589666,0.626010375079339
1985-01-01,1240.30364360192,1239.18599895944,1236.98592954999,0.627428309860146
1985-04-01,1242.7337362845,1240.30364360192,1239.18599895944,0.6278746685207
1985-07-01,1243.17485363755,1242.7337362845,1240.30364360192,0.628466806663874
1985-10-01,1243.73138855468,1243.17485363755,1242.7337362845,0.629168203347429
1986-01-01,1245.0969346826,1243.73138855468,1243.17485363755,0.629488578066002
1986-04-01,1245.98455943648,1245.0969346826,1243.73138855468,0.629666039560656
1986-07-01,1246.48223480855,1245.98455943648,1245.0969346826,0.629911583802445
1986-10-01,1248.17487633534,1246.48223480855,1245.98455943648,0.629529595045225
1987-01-01,1248.91520479864,1248.17487633534,1246.48223480855,0.629022336545964
1987-04-01,1250.08778850191,1248.91520479864,1248.17487633534,0.628147754961873
1987-07-01,1252.12641309778,1250.08778850191,1248.91520479864,0.626390391362551
1987-10-01,1252.85630548142,1252.12641309778,1250.08778850191,0.624483869747388
1988-01-01,1254.22496812052,1252.85630548142,1252.12641309778,0.622098119683435
1988-04-01,1254.45850033491,1254.22496812052,1252.85630548142,0.619866468310144
1988-07-01,1255.6743015218,1254.45850033491,1254.22496812052,0.617256859838386
1988-10-01,1256.32761640146,1255.6743015218,1254.45850033491,0.614571227634092
1989-01-01,1256.67829042642,1256.32761640146,1255.6743015218,0.611996201669457
1989-04-01,1257.35840200589,1256.67829042642,1256.32761640146,0.609344911381606
1989-07-01,1257.59163114291,1257.35840200589,1256.67829042642,0.606862156771423
1989-10-01,1257.92114038597,1257.59163114291,1257.35840200589,0.604504564527016
1990-01-01,1258.91941929669,1257.92114038597,1257.59163114291,0.601898918338204
1990-04-01,1259.84121608188,1258.91941929669,1257.92114038597,0.599097341912214
1990-07-01,1259.24366863488,1259.84121608188,1258.91941929669,0.596988542415342
1990-10-01,1259.32846114904,1259.24366863488,1259.84121608188,0.595203467076459
1991-01-01,1259.40388041675,1259.32846114904,1259.24366863488,0.593720097598945
1991-04-01,1259.55631412096,1259.40388041675,1259.32846114904,0.592493883145534
1991-07-01,1259.52032418736,1259.55631412096,1259.40388041675,0.59163356963599
1991-10-01,1259.77793938223,1259.52032418736,1259.55631412096,0.590983719195731
1992-01-01,1259.77270930986,1259.77793938223,1259.52032418736,0.590695371266836
